policy,n,q,static_budget,batch,rep,min_available,quorum_violated,blocked_survivors,maintenance_ms
static,5,3,3,3,1,2,true,2,782
quorum_aware,5,3,3,2,1,3,false,0,1171
static,5,3,3,3,2,2,true,2,777
quorum_aware,5,3,3,2,2,3,false,0,1160
static,5,3,3,3,3,2,true,2,778
quorum_aware,5,3,3,2,3,3,false,0,1161
static,7,4,4,4,1,3,true,3,787
quorum_aware,7,4,4,3,1,4,false,0,1174
static,7,4,4,4,2,3,true,3,783
quorum_aware,7,4,4,3,2,4,false,0,1178
static,7,4,4,4,3,3,true,3,784
quorum_aware,7,4,4,3,3,4,false,0,1172
static,9,5,5,5,1,4,true,4,792
quorum_aware,9,5,5,4,1,5,false,0,1183
static,9,5,5,5,2,4,true,4,797
quorum_aware,9,5,5,4,2,5,false,0,1183
static,9,5,5,5,3,4,true,4,796
quorum_aware,9,5,5,4,3,5,false,0,1187
